CountyFipsCode	BuildingCode	StructureCode	StructureNbr	LandSqft	LivingSqft	GarageSqft	BasementSqft	BasementFinishedSqft	AtticSqft	Bedrooms	TotalRooms	TotalBaths	FirePlaces	YearBuilt	EffectiveYearBuilt	Condition	ConditionCode	Quality	QualityCode	GarageCarportCode	GarageNoOfCars	HasPatioPorch	PatioPorchCode	HasPool	PoolCode	Zonning	LandValue	ImprovementValue	TotalValue	AssessedYear	PropTaxAmount	City	State	Zip	Latitude	Longitude	BuildingShapeCode	ConstructionCode	Stories	UnitsInBuilding	FoundationCode	ExteriorCode	RoofCode	CoolingCode	HeatingCode	HeatingSourceCode	IsWaterfront	View	ViewScore	LastSaleDate	LastSalePrice	DocType	DeedType	TransType	ArmsLengthFlag	DistressCode	StatusDate	SellDate	SellPrice	OwnerOccupied	DistrsdProp	IsFixer
53033	1		1	19965	784	0	0	0	0	2	0	1	1	1980	0	FAI	2	QAV	6		0	False		False		NC240	41199	126799	168000	2016	1618		WA	98126	47.533	-122.377		0	4	25							False	12	2	2008-10-21 00:00:00	194500	W		R	True		2012-12-05 17:18:00	2008-10-21	194500	True	0	0.0
53033	1		1	9996	1400	0	0	0	0	1	0	1	1	1950	0	FAI	2	QAV	6	GB2	0	False		False		PSM100	105699	549299	655000	2016	6115		WA	98104	47.599	-122.335		2	5	27							False	2	2	2004-11-17 00:00:00	520000	W		R	True		2012-12-05 17:14:00	2004-11-17	520000	True	0	0.0
53033	1		1	30279	592	0	0	0	0	0	0	1	1	2003	0	FAI	2	QAV	6	GB1	0	False		False		NC2P65	24999	313999	339000	2016	3182		WA	98115	47.679	-122.325		2	6	0							False	2	2	2004-06-08 00:00:00	195100	G		S	True		2017-02-17 00:00:00	2004-06-08		False	0	0.0
53033	1		1	39618	704	0	0	0	0	1	0	1	1	2000	0	FAI	2	QAV	6	GB1	0	False		False		DNTNMU	69399	264599	334000	2016	2925		WA	98004	47.611	-122.197		0	4	128							False	2	2	2007-03-28 00:00:00	308069	W		S	True		2017-02-17 00:00:00	2007-03-28	308069	True	0	0.0
53033	1		1	119583	930	0	0	0	0	2	0	1	1	1980	0	FAI	2	QAV	6	C 1	0	False		False		RMA 1.8	40999	124999	166000	2016	1716		WA	98034	47.73	-122.173		0	3	54							False	12	2	2008-08-27 00:00:00	204000	W		R	True		2017-02-17 00:00:00	2008-08-27	204000	True	0	0.0
53033	1		1	182039	1003	0	0	0	0	3	0	2	1	1983	0	FAI	2	QAV	6	C 1	0	False		False		MRG	25699	77299	103000	2016	1425		WA	98030	47.371	-122.188		0	2	67							False	12	2	2009-11-20 00:00:00	167000	W		R	True		2017-02-17 00:00:00	2009-11-20	167000	True	0	0.0
53033	1		1	3999	1340	470	0	0	0	2	0	2	1	2002	0	AVE	3	QGO	8	GA0	0	True	2	True		URPSO	207999	194999	403000	2016	917		WA	98053	47.703	-122.021		0	1	1					2	2	False		1	2002-12-23 00:00:00	250000	G		S	True		2012-12-05 20:26:00	2003-01-31		True	0	0.0
53033	1		1	10686	1690	0	0	0	0	2	0	2	1	1998	0	FAI	2	QGO	8	GB2	0	False		False		CBD 8	83599	976399	1060000	2016	10123		WA	98033	47.677	-122.209		1	5	13							False	5	3	2003-11-25 00:00:00	720000	G		R	True		2012-12-05 17:14:00	2003-11-25	720000	True	0	0.0
53033	1		1	19452	928	0	0	0	0	1	0	1	1	2005	0	FAI	2	QGO	8	GB1	0	False		False		DMC 240290400	46799	535199	582000	2016	5407		WA	98121	47.612	-122.342		3	1	0							False	3	3	2006-03-24 00:00:00	609000	W		R	True		2012-12-05 17:13:00	2006-03-24	609000	True	0	0.0
53033	1		1	589320	1083	0	0	0	0	2	0	2	1	2003	0	FAI	2	QAV	6	G 1	0	False		False		R6	22199	241799	264000	2016	2906		WA	98075	47.593	-121.978		0	2	96							False	5	3	2004-11-05 00:00:00	208270	W		S	True		2017-02-17 00:00:00	2004-11-05	208270	True	0	0.0
53033	9		1	433455	1446	0	0	0	0	3	0	3	1	1996	0	FAI	2	QAV	6	G 2	0	False		False		R18P	81799	290199	372000	2016	4112		WA	98029	47.566	-122.007		0	2	92							False	13	1	2009-05-29 00:00:00	313000	W		R	True		2012-12-05 17:18:00	2009-05-29	313000	False	0	0.0
53033	1		1	5500	1077	0	0	0	0	2	0	2	1	1986	0	FAI	2	QAV	6	GB1	0	False		False		LR3	77299	303699	381000	2016	3616		WA	98116	47.59	-122.386		0	4	7							False	2	2	1990-05-30 00:00:00	187500			R	True		2017-02-17 00:00:00	1990-05-30		True	0	0.0
